Participant ID,MyFood24 ID
A100,2329
G107,2330
B101,2339
B101,2340
H107,2344
J108,2349
E104,2352
N112,2359
X121,2361
Z123,2362
W120,2364
Y122,2365
U118,2366
E128,2369
H131,2376
J132,2378
K133,2383
N136,2395
Q138,2398
T141,2400
U142,2401
V143,2405
X145,2407
Y146,2408
Z147,2413
D151,2419
S164,2420
D175,2421
G154,2422
J180,2427
L182,2429
F105/T189,2431
V191,2436
A172,2437
W192,2438
U190,2439
Z195,2440
Y194,2446
B197,2447
C198,2448
P161,2451
E200,2452
K205,2456
Y218,2461
B221,2462
Z219,2463
T213,2469
H227,2470
K181,2472
G226,2476
J228,2480
L230,2484
N232,2485
K157,2488
Q234,2490
T237,2491
Q210,2492
A244,2495
Z243,2497
C246,2505
Y266,2514
X265,2517
A268,2522
C270,2523
H275,2534
D295 / N304,2543
P305 ,2544
C318,2548
Z315,2549
G322,2553
F321,2554
P329,2555
Y338,2558
V335 ,2559
C342,2560
Z339,2561
F345,2563
J348,2566
H347,2569
T357,2572
V359,2573
A364,2574
X361 / S380 ,2576
Z363,2577
H371,2579
L374,2580
M375,2585
D367,2586
N376,2587
Z387,2601
B389,2615
C390,2616
D391,2619
F393,2620
H395,2622
N400,2626
M399,2628
P401,2635
R403,2638
S404,2639
T405,2640
W408,2649
J420,2657
Y410,2663
R427,2664
F441,2668
U454,2674
W456,2675
G442,2676
C462,2679
V431,2682
A460,2683
S428,2686
S476,2687
X457,2709
F465,2717
N472,2718
Y482,2827
Z483,2844
D487,2868
E488,2872
F489,2892
K493,3163
L494,3164
M495,3199
N496,3200
P497,3214
Q498,3226
